Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist/Machine Learning Engineer,₹528K - ₹692K ,4.2,Cogoport,Mumbai,201 to 500 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD)
Data Science - Intern,-1,-1,Ambee,Bangalore,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Machine Learning Engineer,₹308K - ₹764K ,3.9,Mindstix,Pune,51 to 200 Employees,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Machine learning Engineer,₹281K - ₹402K ,4.2,Anblicks,Hyderābād,201 to 500 Employees,2004,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
Data Scientist (Devops / Machine Learning/ Data Science),₹563K - ₹784K ,3.8,LTIMindtree,Bangalore,10000+ Employees,1997,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data Science,-1,3.7,Locuz Enterprise Solutions,India,501 to 1000 Employees,-1,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 billion (USD)
Data Scientist,₹360K - ₹620K ,3.6,Tech Outs,Hyderābād,201 to 500 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Scientist,-1,-1,The Product Guys,Pune,-1,-1,-1,-1,-1,-1
Data Science Strategic Analytics-Associate,₹456K - ₹661K ,4.0,"JPMorgan Chase Bank, N.A.",Mumbai,10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
Data Science Online Trainer,-1,3.6,Prognoz,India,1001 to 5000 Employees,-1,Company - Private,Research & Development,Management & Consulting,$1 to $5 billion (USD)
Data Scientist (Computer Vision),-1,4.3,Sciffer,India,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Machine Learning Engineer,-1,-1,DentalDost,Pune,-1,-1,-1,-1,-1,-1
Machine Learning Engineer,-1,4.5,docquity,India,201 to 500 Employees,2016,Company - Private,Education & Training Services,Education,Unknown / Non-Applicable
Artificial Intelligence/ Machine Learning Engineer,₹417K - ₹469K ,3.9,UST,Hyderābād,10000+ Employees,1999,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD)
Machine Learning Engineer,₹183K - ₹700K ,2.8,Tekolutions.ai,Mumbai,Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Data Scientist,-1,4.2,Airtel India,India,10000+ Employees,-1,Company - Public,Telecommunications Services,Telecommunications,$10+ billion (USD)
Deep Learning Engineer,₹293K - ₹407K ,4.2,Aptagrim Consulting,Hyderābād,1 to 50 Employees,2012,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data Scientist,₹360K - ₹804K ,3.9,Harman International,Bangalore,10000+ Employees,1980,Company - Private,Consumer Product Manufacturing,Manufacturing,$5 to $10 billion (USD)
Data Analytics Intern,-1,3.9,Ecozen Solutions,Pune,201 to 500 Employees,-1,Company - Private,Electronics Manufacturing,Manufacturing,Unknown / Non-Applicable
AI/Machine Learning Engineer,₹240K - ₹600K ,1.9,AssetOne,Pune,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
Data Science Developer (India),-1,-1,Flexday,Hyderābād,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Senior Machine Learning Engineer,-1,3.9,Baker Hughes,Mumbai,10000+ Employees,1907,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$5 to $10 billion (USD)
Machine Learning Engineer,₹471K - ₹675K ,3.9,Infosys Limited,Bangalore,10000+ Employees,1981,Company - Public,Information Technology Support Services,Information Technology,$10+ billion (USD)
Data Scientist (Devops / Machine Learning/ Data Science),₹563K - ₹784K ,3.8,LTIMindtree,Bangalore,10000+ Employees,1997,Company - Public,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data Science Trainee,₹15K - ₹31K ,-1,AS Global Solutions,Hyderābād,-1,-1,-1,-1,-1,-1
Senior Data Scientist,₹941K - ₹1M ,4.1,Boston Consulting Group,Bangalore,10000+ Employees,1963,Company - Private,Business Consulting,Management & Consulting,$5 to $10 billion (USD)
Computer Vision Engineer (Intern),-1,4.6,Stylumia Intelligence Technology,Bangalore,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Machine Learning & AI Online Trainer,-1,3.6,Prognoz,India,1001 to 5000 Employees,-1,Company - Private,Research & Development,Management & Consulting,$1 to $5 billion (USD)
Wobot.ai - Computer Vision Engineer,₹500K - ₹800K ,4.5,Wobot.ai,Remote,51 to 200 Employees,2017,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
Data Scientist - Machine Learning/Artificial Intelligence,₹300K - ₹2M ,-1,Partnersoft Technologies Private Limited,Chennai,-1,-1,-1,-1,-1,-1
Artificial Intelligence/ Machine Learning Engineer,₹417K - ₹469K ,3.9,UST,Hyderābād,10000+ Employees,1999,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD)
Data Science Online Trainer,-1,3.6,Prognoz,India,1001 to 5000 Employees,-1,Company - Private,Research & Development,Management & Consulting,$1 to $5 billion (USD)
Machine learning Engineer,₹281K - ₹402K ,4.2,Anblicks,Hyderābād,201 to 500 Employees,2004,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
Data Scientist (Computer Vision),-1,4.3,Sciffer,India,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
Computer Vision/Artificial Intelligence Architect,₹500K - ₹1M ,3.4,Larsen & Toubro Limited,Chennai,10000+ Employees,2014,Company - Public,Information Technology Support Services,Information Technology,$500 million to $1 billion (USD)
Machine Learning Engineer,₹500K - ₹610K ,4.1,Michelin,Pune,10000+ Employees,1889,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD)
Data Scientist,₹210K - ₹717K ,4.2,IBST Private Limited,Pune,1 to 50 Employees,2020,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
Junior Data Scientist - Artificial Intelligence Innovation,-1,4.1,Accenture,Bangalore,10000+ Employees,1989,Company - Public,Business Consulting,Management & Consulting,$10+ billion (USD)
Computer Vision Engineer,-1,4.5,Wobot Intelligence,Remote,51 to 200 Employees,2017,Company - Private,Computer Hardware Development,Information Technology,Unknown / Non-Applicable
Deep Learning Engineer,₹293K - ₹407K ,4.2,Aptagrim Consulting,Hyderābād,1 to 50 Employees,2012,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
Data Scientist - Python,₹449K - ₹2M ,3.3,V R Della IT Services Private Limited,Tiruchchirāppalli,51 to 200 Employees,2012,Company - Private,HR Consulting,Human Resources & Staffing,$5 to $25 million (USD)
Data Analytics Intern,-1,3.9,Ecozen Solutions,Pune,201 to 500 Employees,-1,Company - Private,Electronics Manufacturing,Manufacturing,Unknown / Non-Applicable
Data Science - Intern,-1,-1,Ambee,Bangalore,1 to 50 Employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable
